time,seconds_elapsed,z,y,x
1680996925704635400,0.037635498046875,0,0,0
1680996925714676000,0.047676025390625,-0.0793008804321289,-0.0225830078125,0.014509022235870361
1680996925724716500,0.057716552734375,-0.29212474822998047,-0.05525851249694824,-0.1696992814540863
1680996925734757000,0.067757080078125,-0.571934700012207,0.04910111427307129,-0.45922842621803284
1680996925744797700,0.077797607421875,-1.140080451965332,0.013608217239379883,-0.5312358140945435
1680996925754838300,0.08783837890625,-1.4778571128845215,0.03970932960510254,-0.5726136565208435
1680996925764878800,0.09787890625,-1.2784113883972168,-0.14651131629943848,-0.3005380928516388
1680996925774919400,0.10791943359375,-1.6748266220092773,-1.1063156127929688,-0.8961813449859619
1680996925784960000,0.1179599609375,-1.306673526763916,-1.3768020868301392,-1.3746870756149292
1680996925795000600,0.12800048828125,-0.33550119400024414,-0.0987856388092041,-1.4868073463439941
1680996925805041200,0.138041259765625,-0.17917346954345703,0.6634950637817383,-1.552649974822998
1680996925815081700,0.148081787109375,-0.7293634414672852,-1.477310061454773,-1.9499566555023193
1680996925825122300,0.158122314453125,-0.8846654891967773,-0.6953616142272949,-2.945180892944336
1680996925835163000,0.168162841796875,-0.8277769088745117,-0.34525132179260254,-2.666475772857666
1680996925845203500,0.178203369140625,-0.7550935745239258,0.31541013717651367,-2.863581657409668
1680996925855244000,0.188244140625,-0.5053725242614746,0.5610392093658447,-2.601400375366211
1680996925865284600,0.19828466796875,-0.5066523551940918,0.4478890895843506,-1.9089620113372803
1680996925875325200,0.2083251953125,-0.2210526466369629,0.3551597595214844,-1.3090828657150269
1680996925885365800,0.21836572265625,0.21934223175048828,0.41531801223754883,-1.0716699361801147
1680996925895406300,0.22840625,0.39554929733276367,-0.08306145668029785,0.02880653738975525
1680996925905447000,0.238447021484375,1.773733139038086,-0.9858479499816895,1.1140856742858887
1680996925915487500,0.248487548828125,2.8809022903442383,-1.1944859027862549,1.5641510486602783
1680996925925528000,0.258528076171875,4.390138626098633,-0.8317151069641113,1.4763658046722412
1680996925935568600,0.268568603515625,6.521551609039307,0.5889599323272705,1.4376184940338135
1680996925945609200,0.278609130859375,9.486946105957031,1.4890046119689941,1.786445140838623
1680996925955649800,0.28864990234375,12.881454467773438,0.557610273361206,3.0355865955352783
1680996925965690400,0.2986904296875,14.67261028289795,-1.1343810558319092,5.1418890953063965
1680996925975731000,0.30873095703125,15.549443244934082,-2.3789758682250977,6.40606689453125
1680996925985771500,0.318771484375,14.230307579040527,-3.603905439376831,7.002930641174316
1680996925995811800,0.328811767578125,12.470819473266602,-5.6025896072387695,7.602123260498047
1680996926005852400,0.338852294921875,10.117270469665527,-5.645572662353516,7.008763313293457
1680996926015893000,0.34889306640625,8.063902854919434,-5.037539482116699,5.593395233154297
1680996926025933600,0.35893359375,5.675851821899414,-4.409144878387451,4.7079877853393555
1680996926035974100,0.36897412109375,2.855030059814453,-4.02431058883667,4.044068336486816
1680996926046014700,0.3790146484375,0.025185585021972656,-3.4954237937927246,3.671555995941162
1680996926056055300,0.38905517578125,-2.638962745666504,-2.06101131439209,1.6443679332733154
1680996926066095900,0.399095947265625,-4.985506534576416,-1.7323293685913086,1.852351427078247
1680996926076136400,0.409136474609375,-5.702996253967285,-2.1732871532440186,1.7702093124389648
1680996926086177000,0.419177001953125,-5.80019474029541,-1.8176617622375488,1.6413558721542358
1680996926096217600,0.429217529296875,-5.543809413909912,-2.511631488800049,1.630310297012329
1680996926106258200,0.439258056640625,-4.479979991912842,-2.516385078430176,1.7090100049972534
1680996926116298800,0.449298828125,-3.759303092956543,-1.9034173488616943,1.5943562984466553
1680996926126339600,0.459339599609375,-3.796288013458252,-1.8631856441497803,1.6249122619628906
1680996926136380000,0.4693798828125,-4.140227794647217,-1.832359790802002,1.7261464595794678
1680996926146420500,0.47942041015625,-4.2516374588012695,-0.8645398020744324,2.4707748889923096
1680996926156461300,0.48946142578125,-4.762221813201904,-0.15577948093414307,2.9534900188446045
1680996926166501600,0.499501708984375,-5.531270980834961,0.026330292224884033,2.7825331687927246
1680996926176542200,0.509542236328125,-5.696242332458496,0.8689584732055664,2.5480804443359375
1680996926186582800,0.519582763671875,-5.964188098907471,1.1058465242385864,2.0011239051818848
1680996926196623400,0.529623291015625,-5.977917671203613,1.1071933507919312,1.3443962335586548
1680996926206664000,0.539663818359375,-5.642503261566162,0.8243519067764282,1.2805590629577637
1680996926216704500,0.54970458984375,-5.2192301750183105,0.44612836837768555,1.8885178565979004
1680996926226745000,0.5597451171875,-4.88014554977417,-0.11453714966773987,2.7163643836975098
1680996926236785700,0.56978564453125,-4.466033935546875,-0.7305450439453125,2.7837255001068115
1680996926246826200,0.579826171875,-3.755547046661377,-0.7278101444244385,2.0754854679107666
1680996926256866800,0.58986669921875,-4.227623462677002,0.08136530965566635,1.6675153970718384
1680996926266907400,0.599907470703125,-3.809988498687744,0.41313445568084717,0.768817126750946
1680996926276948000,0.609947998046875,-2.5337271690368652,0.44089457392692566,1.4860882759094238
1680996926286988500,0.619988525390625,-1.4228038787841797,-0.504718005657196,3.621480941772461
1680996926297029000,0.630029052734375,1.128209114074707,-1.4434387683868408,6.421292304992676
1680996926307069700,0.640069580078125,4.032938003540039,-2.521768569946289,8.106389999389648
1680996926317110300,0.6501103515625,6.777778625488281,-3.785318613052368,7.809298038482666
1680996926327150800,0.66015087890625,9.432660102844238,-4.814760684967041,5.574002742767334
1680996926337191400,0.67019140625,11.86348819732666,-5.805809497833252,3.984677791595459
